,index,location,sewer_and_water_i,power_i,roads_and_bridges_i,medical_i,buildings_i,shake_intensity_i,sewer_and_water_u,power_u,roads_and_bridges_u,medical_u,buildings_u,shake_intensity_u
0,2020-04-06 00:00:00,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,2020-04-06 00:00:00,2,4.333333333333333,8.333333333333334,3.0,-1.0,5.0,0.0,0.697614984548545,0.19337448324488116,0.2611445971485526,-1.0,0.7911035007422443,0.0
2,2020-04-06 00:00:00,3,3.8333333333333335,5.333333333333333,8.166666666666666,5.833333333333333,4.166666666666667,1.0,0.3022140521771503,0.45990543021651936,0.3821963566885542,1.0,0.6538637160826307,-1.0
3,2020-04-06 00:00:00,4,7.5,3.25,9.25,-1.0,7.0,0.5,0.5354126134736337,0.5879487615114514,0.0,-1.0,0.5083057392117917,1.0
4,2020-04-06 00:00:00,5,4.5,3.0,1.5,8.0,6.5,-1.0,0.3,0.16666666666666669,0.29153302608288395,0.0,0.5000000000000001,-1.0
5,2020-04-06 00:00:00,6,4.428571428571429,5.0,3.857142857142857,5.857142857142857,6.571428571428571,1.0,0.657556805440376,0.37766438728515067,0.7455693896722235,0.7065836242879407,0.7480145590239166,-1.0
6,2020-04-06 00:00:00,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,2020-04-06 00:00:00,8,4.833333333333333,5.75,5.583333333333333,-1.0,5.083333333333333,0.0,0.4383163379583428,0.7821497145433782,0.6755889057777129,-1.0,0.29944068797419787,-1.0
8,2020-04-06 00:00:00,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,2020-04-06 00:00:00,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,2020-04-06 00:00:00,11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,2020-04-06 00:00:00,12,5.0,3.0,8.5,-1.0,3.5,0.0,1.0,0.16666666666666669,0.29153302608288395,-1.0,0.0,-1.0
12,2020-04-06 00:00:00,13,10.0,1.0,4.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,2020-04-06 00:00:00,14,10.0,4.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,2020-04-06 00:00:00,15,5.6,4.0,5.6,-1.0,4.2,1.0,0.4753945729601885,0.6326385872187867,0.7714558105895641,-1.0,0.016485485837794633,-1.0
15,2020-04-06 00:00:00,16,7.0,5.0,4.0,3.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,2020-04-06 00:00:00,17,2.0,2.0,4.0,-1.0,6.5,-1.0,0.0,0.5,0.8228832565207209,-1.0,0.5000000000000001,-1.0
17,2020-04-06 00:00:00,18,5.5,6.5,2.5,-1.0,5.5,0.0,0.7,0.0,0.29153302608288395,-1.0,0.5000000000000001,-1.0
