index,location,sewer_and_water_i,power_i,roads_and_bridges_i,medical_i,buildings_i,shake_intensity_i,sewer_and_water_u,power_u,roads_and_bridges_u,medical_u,buildings_u,shake_intensity_u
2020-04-06 00:00:00,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-06 00:30:00,1,2.0,10.0,3.0,5.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 01:00:00,1,7.5,3.5,6.0,5.0,4.5,1.0,0.2890648263178878,0.2890648263178878,0.0,0.2890648263178878,0.2890648263178878,0.0
2020-04-06 01:30:00,1,9.0,10.0,2.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 02:00:00,1,4.833333333333333,6.166666666666667,4.333333333333333,8.333333333333334,6.833333333333333,-1.0,0.6508667942032516,0.6508667942032516,0.7472217363092141,0.6508667942032516,0.6508667942032516,-1.0
2020-04-06 02:30:00,1,5.0,0.0,4.0,4.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 03:00:00,1,7.0,5.5,4.0,9.0,8.5,-1.0,0.2890648263178878,0.2890648263178878,0.2890648263178878,0.2890648263178878,0.2890648263178878,-1.0
2020-04-06 03:30:00,1,2.0,0.0,10.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 04:00:00,1,3.0,8.0,3.0,3.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 04:30:00,1,10.0,3.0,7.0,8.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 05:00:00,1,10.0,10.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06 05:30:00,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-06 06:00:00,1,10.0,4.0,0.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06 06:30:00,1,6.666666666666667,4.666666666666667,3.6666666666666665,3.6666666666666665,3.6666666666666665,0.0,0.26544702577940094,0.45815690999132613,0.45815690999132613,0.45815690999132613,0.45815690999132613,0.0
2020-04-06 07:00:00,1,4.0,5.5,8.0,6.0,3.5,-1.0,0.2890648263178878,0.2890648263178878,0.0,0.2890648263178878,0.2890648263178878,-1.0
2020-04-06 07:30:00,1,4.0,2.5,1.5,5.0,10.0,-1.0,0.2890648263178878,0.2890648263178878,0.2890648263178878,0.2890648263178878,0.0,-1.0
2020-04-06 08:00:00,1,5.0,7.0,8.5,9.5,5.0,-1.0,0.2890648263178878,0.2890648263178878,0.2890648263178878,0.2890648263178878,0.2890648263178878,-1.0
2020-04-06 08:30:00,1,0.0,5.0,10.0,5.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 09:00:00,1,6.0,1.0,6.0,10.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 09:30:00,1,8.0,4.0,8.5,3.0,8.0,-1.0,0.2890648263178878,0.0,0.2890648263178878,0.2890648263178878,0.2890648263178878,-1.0
2020-04-06 10:00:00,1,4.5,1.0,3.0,5.0,6.5,-1.0,0.2890648263178878,0.2890648263178878,0.2890648263178878,0.2890648263178878,0.2890648263178878,-1.0
2020-04-06 10:30:00,1,2.0,9.0,9.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 11:00:00,1,1.0,4.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06 11:30:00,1,8.0,8.666666666666666,8.0,3.3333333333333335,5.333333333333333,1.0,0.26544702577940094,0.45815690999132613,0.26544702577940094,0.45815690999132613,0.45815690999132613,0.0
2020-04-06 12:00:00,1,4.0,2.6666666666666665,5.333333333333333,7.0,6.0,-1.0,0.45815690999132613,0.45815690999132613,0.45815690999132613,0.45815690999132613,0.26544702577940094,-1.0
2020-04-06 12:30:00,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-06 13:00:00,1,9.0,2.0,4.0,8.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-06 13:30:00,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-06 14:00:00,1,9.0,5.25,3.5,5.75,2.75,1.0,0.4335972394768317,0.5781296526357756,0.5781296526357756,0.4335972394768317,0.4335972394768317,0.0
2020-04-06 14:30:00,1,0.5,0.5,2.0,1.75,0.5,0.3333333333333333,0.234511970142281,0.2890648263178878,0.234511970142281,0.4335972394768317,0.234511970142281,0.26544702577940094
2020-04-06 15:00:00,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06 15:30:00,1,4.285714285714286,3.5714285714285716,6.428571428571429,3.4285714285714284,3.857142857142857,0.0,0.6463276622041703,0.6463276622041703,0.6151546015323949,0.7289176125807096,0.6463276622041703,0.0
2020-04-06 16:00:00,1,0.9,1.4,2.3,1.2,0.7,0.25,0.3921972737190532,0.3934068359991973,0.4541065607400214,0.3343843084554757,0.26649698462619664,0.23451197014228106
