start_time,location,priority_value,priority
2020-04-06 00:00:00,1,0.5914556116964425,8
2020-04-06 00:30:00,1,-1.0,-1
2020-04-06 01:00:00,1,-1.0,-1
2020-04-06 01:30:00,1,0.1792779753640399,3
2020-04-06 02:00:00,1,0.06434329661715608,8
2020-04-06 02:30:00,1,-1.0,-1
2020-04-06 03:00:00,1,-1.0,-1
2020-04-06 03:30:00,1,-1.0,-1
2020-04-06 04:00:00,1,0.32760148034483344,3
2020-04-06 04:30:00,1,0.12931387050600285,11
2020-04-06 05:00:00,1,-1.0,-1
2020-04-06 05:30:00,1,0.04161846358455631,14
2020-04-06 06:00:00,1,0.0,18
2020-04-06 06:30:00,1,0.012927839687938147,16
2020-04-06 07:00:00,1,0.10768017333543739,14
2020-04-06 07:30:00,1,0.0756231551864166,13
2020-04-06 08:00:00,1,0.01655327705520454,17
2020-04-06 08:30:00,1,-1.0,-1
2020-04-06 09:00:00,1,0.42389083196524924,6
2020-04-06 09:30:00,1,0.4548728131949196,6
2020-04-06 10:00:00,1,-1.0,-1
2020-04-06 10:30:00,1,0.0,13
2020-04-06 11:00:00,1,-1.0,-1
2020-04-06 11:30:00,1,1.0,1
2020-04-06 12:00:00,1,0.1407128209233494,4
2020-04-06 12:30:00,1,-1.0,-1
2020-04-06 13:00:00,1,-1.0,-1
2020-04-06 13:30:00,1,0.5458717971197804,3
2020-04-06 14:00:00,1,-1.0,-1
2020-04-06 14:30:00,1,-1.0,-1
2020-04-06 15:00:00,1,0.9999999999999998,1
2020-04-06 15:30:00,1,1.0,1
2020-04-06 16:00:00,1,-1.0,-1
2020-04-06 16:30:00,1,0.48571046872458845,6
2020-04-06 17:00:00,1,-1.0,-1
2020-04-06 17:30:00,1,0.2591857263616447,5
2020-04-06 18:00:00,1,-1.0,-1
2020-04-06 18:30:00,1,0.9999999999999999,1
2020-04-06 19:00:00,1,1.0,1
2020-04-06 19:30:00,1,-1.0,-1
2020-04-06 20:00:00,1,-1.0,-1
2020-04-06 20:30:00,1,0.3064425109573424,2
2020-04-06 21:00:00,1,1.0,1
2020-04-06 21:30:00,1,0.7487144066918378,3
2020-04-06 22:00:00,1,0.22486904447450534,4
2020-04-06 22:30:00,1,0.8978253927977526,2
2020-04-06 23:00:00,1,0.21809698563890756,3
2020-04-06 23:30:00,1,0.7309999788109447,2
2020-04-07 00:00:00,1,-1.0,-1
2020-04-07 00:30:00,1,0.0,11
2020-04-07 01:00:00,1,1.0000000000000002,1
2020-04-07 01:30:00,1,0.0667890409288655,8
2020-04-07 02:00:00,1,0.1521426280721424,4
2020-04-07 02:30:00,1,-1.0,-1
2020-04-07 03:00:00,1,0.2807385122668273,3
2020-04-07 03:30:00,1,-1.0,-1
2020-04-07 04:00:00,1,0.0,13
2020-04-07 04:30:00,1,-1.0,-1
2020-04-07 05:00:00,1,-1.0,-1
2020-04-07 05:30:00,1,-1.0,-1
2020-04-07 06:00:00,1,-1.0,-1
2020-04-07 06:30:00,1,-1.0,-1
2020-04-07 07:00:00,1,-1.0,-1
2020-04-07 07:30:00,1,-1.0,-1
2020-04-07 08:00:00,1,-1.0,-1
2020-04-07 08:30:00,1,-1.0,-1
2020-04-07 09:00:00,1,1.0,1
2020-04-07 09:30:00,1,-1.0,-1
2020-04-07 10:00:00,1,0.018216301068718244,8
2020-04-07 10:30:00,1,0.21245566783596828,4
2020-04-07 11:00:00,1,-1.0,-1
2020-04-07 11:30:00,1,-1.0,-1
2020-04-07 12:00:00,1,0.7491732669617438,4
2020-04-07 12:30:00,1,-1.0,-1
2020-04-07 13:00:00,1,-1.0,-1
2020-04-07 13:30:00,1,0.3217194740300735,4
2020-04-07 14:00:00,1,-1.0,-1
2020-04-07 14:30:00,1,1.0,1
2020-04-07 15:00:00,1,-1.0,-1
2020-04-07 15:30:00,1,0.7271436161653758,2
2020-04-07 16:00:00,1,-1.0,-1
2020-04-07 16:30:00,1,0.08591221054566586,8
2020-04-07 17:00:00,1,0.26865864798822015,3
2020-04-07 17:30:00,1,0.8969156017885568,2
2020-04-07 18:00:00,1,0.1546771591006943,4
2020-04-07 18:30:00,1,0.9999999999999999,1
2020-04-07 19:00:00,1,-1.0,-1
2020-04-07 19:30:00,1,-1.0,-1
2020-04-07 20:00:00,1,0.9999999999999999,1
2020-04-07 20:30:00,1,0.24814285627005966,5
2020-04-07 21:00:00,1,0.3082994912231629,4
2020-04-07 21:30:00,1,0.26907502652305426,6
2020-04-07 22:00:00,1,-1.0,-1
2020-04-07 22:30:00,1,0.03747514663746865,18
2020-04-07 23:00:00,1,0.0,18
2020-04-07 23:30:00,1,0.0,16
2020-04-08 00:00:00,1,0.0,16
2020-04-08 00:30:00,1,0.260744068607448,10
2020-04-08 01:00:00,1,0.2656287038698153,9
2020-04-08 01:30:00,1,0.21039279564209487,12
2020-04-08 02:00:00,1,0.2357504518119707,10
2020-04-08 02:30:00,1,0.3081270979155195,8
2020-04-08 03:00:00,1,0.11584998695005233,12
2020-04-08 03:30:00,1,0.5713445954536096,6
2020-04-08 04:00:00,1,0.05380699325018842,13
2020-04-08 04:30:00,1,0.0897728487429112,12
2020-04-08 05:00:00,1,-1.0,-1
2020-04-08 05:30:00,1,0.14897646091565148,8
2020-04-08 06:00:00,1,0.0,13
2020-04-08 06:30:00,1,-1.0,-1
2020-04-08 07:00:00,1,0.03329298558673622,10
2020-04-08 07:30:00,1,0.07097417199608197,9
2020-04-08 08:00:00,1,-1.0,-1
2020-04-08 08:30:00,1,-1.0,-1
2020-04-08 09:00:00,1,-1.0,-1
2020-04-08 09:30:00,1,-1.0,-1
2020-04-08 10:00:00,1,0.013768171236134524,6
2020-04-08 10:30:00,1,1.0000000000000002,1
2020-04-08 11:00:00,1,0.23716423007095483,2
2020-04-08 11:30:00,1,-1.0,-1
2020-04-08 12:00:00,1,0.06177771371949049,6
2020-04-08 12:30:00,1,1.0,1
2020-04-08 13:00:00,1,-1.0,-1
2020-04-08 13:30:00,1,-1.0,-1
2020-04-08 14:00:00,1,-1.0,-1
2020-04-08 14:30:00,1,0.2969522766727978,4
2020-04-08 15:00:00,1,-1.0,-1
2020-04-08 15:30:00,1,0.8499327386216785,2
2020-04-08 16:00:00,1,0.0,11
2020-04-08 16:30:00,1,-1.0,-1
2020-04-08 17:00:00,1,-1.0,-1
2020-04-08 17:30:00,1,0.8953222760888335,2
2020-04-08 18:00:00,1,-1.0,-1
2020-04-08 18:30:00,1,0.02743264513186111,7
2020-04-08 19:00:00,1,-1.0,-1
2020-04-08 19:30:00,1,0.10879178598468237,6
2020-04-08 20:00:00,1,0.5511207703787782,4
2020-04-08 20:30:00,1,-1.0,-1
2020-04-08 21:00:00,1,-1.0,-1
2020-04-08 21:30:00,1,-1.0,-1
2020-04-08 22:00:00,1,0.08647451481245887,6
2020-04-08 22:30:00,1,0.28151085356798694,5
2020-04-08 23:00:00,1,-1.0,-1
2020-04-08 23:30:00,1,0.09650325416891,9
2020-04-09 00:00:00,1,-1.0,-1
2020-04-09 00:30:00,1,0.3410601365375613,5
2020-04-09 01:00:00,1,1.0,1
2020-04-09 01:30:00,1,0.018461531437521744,11
2020-04-09 02:00:00,1,-1.0,-1
2020-04-09 02:30:00,1,1.0000000000000002,1
2020-04-09 03:00:00,1,-1.0,-1
2020-04-09 03:30:00,1,0.4552705434623966,2
2020-04-09 04:00:00,1,0.27155114445980066,5
2020-04-09 04:30:00,1,0.06767879635121568,6
2020-04-09 05:00:00,1,0.0168671306891246,16
2020-04-09 05:30:00,1,0.015731859120032277,17
2020-04-09 06:00:00,1,0.10734537927252252,16
2020-04-09 06:30:00,1,0.002318796925811939,17
2020-04-09 07:00:00,1,0.17272831787075174,11
2020-04-09 07:30:00,1,0.12129609687630613,13
2020-04-09 08:00:00,1,0.44675871192106126,5
2020-04-09 08:30:00,1,0.18869715171003684,10
2020-04-09 09:00:00,1,-1.0,-1
2020-04-09 09:30:00,1,-1.0,-1
2020-04-09 10:00:00,1,-1.0,-1
2020-04-09 10:30:00,1,0.0,14
2020-04-09 11:00:00,1,0.19239202885087658,5
2020-04-09 11:30:00,1,0.24220335042224328,4
2020-04-09 12:00:00,1,-1.0,-1
2020-04-09 12:30:00,1,-1.0,-1
2020-04-09 13:00:00,1,0.3089765735134904,5
2020-04-09 13:30:00,1,0.06938653501029866,7
2020-04-09 14:00:00,1,-1.0,-1
2020-04-09 14:30:00,1,0.8403328733652711,2
2020-04-09 15:00:00,1,-1.0,-1
2020-04-09 15:30:00,1,-1.0,-1
2020-04-09 16:00:00,1,-1.0,-1
2020-04-09 16:30:00,1,0.09298642676916369,9
2020-04-09 17:00:00,1,-1.0,-1
2020-04-09 17:30:00,1,0.16771196347778544,6
2020-04-09 18:00:00,1,-1.0,-1
2020-04-09 18:30:00,1,-1.0,-1
2020-04-09 19:00:00,1,-1.0,-1
2020-04-09 19:30:00,1,0.26931875784135456,3
2020-04-09 20:00:00,1,-1.0,-1
2020-04-09 20:30:00,1,0.2894369112177018,3
2020-04-09 21:00:00,1,-1.0,-1
2020-04-09 21:30:00,1,0.0822960529615533,6
2020-04-09 22:00:00,1,0.4046136774418774,3
2020-04-09 22:30:00,1,0.8943263467208654,2
2020-04-09 23:00:00,1,-1.0,-1
2020-04-09 23:30:00,1,1.0,1
2020-04-10 00:00:00,1,-1.0,-1
2020-04-10 00:30:00,1,-1.0,-1
2020-04-10 01:00:00,1,1.0,1
2020-04-10 01:30:00,1,0.9999999999999999,1
2020-04-10 02:00:00,1,-1.0,-1
2020-04-10 02:30:00,1,0.9999999999999999,1
2020-04-10 03:00:00,1,-1.0,-1
2020-04-10 03:30:00,1,-1.0,-1
2020-04-10 04:00:00,1,-1.0,-1
2020-04-10 04:30:00,1,-1.0,-1
2020-04-10 05:00:00,1,0.34371491672854926,4
2020-04-10 05:30:00,1,0.34140596014416913,4
2020-04-10 06:00:00,1,0.199931459176114,6
2020-04-10 06:30:00,1,0.732411321772334,4
2020-04-10 07:00:00,1,0.7335536211211069,3
2020-04-10 07:30:00,1,0.5804806103658696,3
2020-04-10 08:00:00,1,0.7279140066260619,3
2020-04-10 08:30:00,1,0.9999999999999999,1
2020-04-10 09:00:00,1,1.0,1
2020-04-10 09:30:00,1,0.475841956946093,5
2020-04-10 10:00:00,1,0.6219256561573705,4
2020-04-10 10:30:00,1,0.057085328304191704,5
2020-04-10 11:00:00,1,0.06431950506923703,5
2020-04-10 11:30:00,1,0.0683328937142069,5
2020-04-10 12:00:00,1,0.05341811124453924,5
2020-04-10 12:30:00,1,0.06329254913268137,4
2020-04-10 13:00:00,1,0.06426579451088756,4
2020-04-10 13:30:00,1,0.06124828640292833,4
2020-04-10 14:00:00,1,0.06124828640292833,4
2020-04-10 14:30:00,1,0.06636203362473243,4
2020-04-10 15:00:00,1,0.06381705246674671,4
2020-04-10 15:30:00,1,0.0774953752806142,5
2020-04-10 16:00:00,1,0.0822691618683224,5
2020-04-10 16:30:00,1,0.08117988817461082,4
2020-04-10 17:00:00,1,0.06021624549860527,7
2020-04-10 17:30:00,1,0.05263169109479873,8
2020-04-10 18:00:00,1,0.05969363997068855,6
2020-04-10 18:30:00,1,0.061853630978188565,7
2020-04-10 19:00:00,1,0.07889970519059655,5
2020-04-10 19:30:00,1,0.08331550306342045,6
2020-04-10 20:00:00,1,0.38231533743357976,8
2020-04-10 20:30:00,1,0.3189435887278506,8
2020-04-10 21:00:00,1,0.36366298116439527,7
2020-04-10 21:30:00,1,0.391312882021189,7
2020-04-10 22:00:00,1,0.23055433565016503,10
2020-04-10 22:30:00,1,0.052226185540642456,11
2020-04-10 23:00:00,1,-1.0,-1
2020-04-10 23:30:00,1,-1.0,-1
2020-04-06 00:00:00,2,0.5207754803098279,14
2020-04-06 00:30:00,2,0.18250509971739814,5
2020-04-06 01:00:00,2,0.012951581695859846,10
2020-04-06 01:30:00,2,0.003727450971984958,11
2020-04-06 02:00:00,2,0.07289074328940433,7
2020-04-06 02:30:00,2,0.002542511339285243,9
2020-04-06 03:00:00,2,-1.0,-1
2020-04-06 03:30:00,2,0.0,9
2020-04-06 04:00:00,2,0.26133291946005555,5
2020-04-06 04:30:00,2,0.0,16
2020-04-06 05:00:00,2,0.0034586508151299433,15
2020-04-06 05:30:00,2,0.0,16
2020-04-06 06:00:00,2,0.009093208462407576,17
2020-04-06 06:30:00,2,0.022776881537997784,15
2020-04-06 07:00:00,2,0.24148597674117117,9
2020-04-06 07:30:00,2,0.05456562980516816,14
2020-04-06 08:00:00,2,0.0586369632208823,15
2020-04-06 08:30:00,2,0.025235228285446165,15
2020-04-06 09:00:00,2,0.17202516957140598,13
2020-04-06 09:30:00,2,0.01830359789045452,13
2020-04-06 10:00:00,2,0.08712353533022726,13
2020-04-06 10:30:00,2,-1.0,-1
2020-04-06 11:00:00,2,0.15179594498979487,8
2020-04-06 11:30:00,2,0.0,11
2020-04-06 12:00:00,2,0.079733096694414,6
2020-04-06 12:30:00,2,0.1342992454671363,9
2020-04-06 13:00:00,2,0.3433835969938986,6
2020-04-06 13:30:00,2,0.04256340438865146,10
2020-04-06 14:00:00,2,0.008555962662704895,11
2020-04-06 14:30:00,2,0.30631290687527823,4
2020-04-06 15:00:00,2,0.6193946884667593,2
2020-04-06 15:30:00,2,-1.0,-1
2020-04-06 16:00:00,2,0.20076886984793943,6
2020-04-06 16:30:00,2,0.32495946841888856,9
2020-04-06 17:00:00,2,0.024992477383629932,10
2020-04-06 17:30:00,2,0.06246824459027214,12
2020-04-06 18:00:00,2,0.0,12
2020-04-06 18:30:00,2,0.24139635900550072,7
2020-04-06 19:00:00,2,0.06173399979878709,6
2020-04-06 19:30:00,2,0.0,13
